local_alias,item_name,rate
"10"" 10ft s/s foamcore selfit sn4",250mm 3 M S/S (Foamcore)Selfit Pipes SN4,8201.0
"10"" 20ft s/s foamcore selfit sn4",250mm 6 M S/S (Foamcore)Selfit Pipes SN4,16398.0
"10"" 10ft d/s foamcore selfit sn4",250mm 3 M D/S (Foamcore)Selfit Pipes SN4,8256.0
"12"" 10ft s/s foamcore selfit sn4",315mm 3 M S/S (Foamcore)Selfit Pipes SN4,12661.0
"12"" 20ft s/s foamcore selfit sn4",315mm 6 M S/S (Foamcore)Selfit Pipes SN4,25323.0
"4"" 10ft s/s foamcore ringfit sn8",110mm 3 M S/S (Foamcore)ringfit Pipes SN8,2056.0
"4"" 20ft s/s foamcore ringfit sn8",110mm 6 M S/S (Foamcore)ringfit Pipes SN8,4061.0
"6"" 10ft d/s fosmcore ringfit sn8",160mm 3 M D/S (Foamcore)ringfit Pipes SN8,
"6"" 20ft s/s fosmcore ringfit sn8",160mm 6 M S/S (Foamcore)ringfit Pipes SN8,7932.0
"6"" 20ft d/s fosmcore ringfit sn8",160mm 6 M D/S (Foamcore)ringfit Pipes SN8,
"8"" 20ft s/s foamcore ringfit sn8",200mm 6 M S/S (Foamcore)ringfit Pipes SN8,
"8"" 20ft d/s foamcore ringfit sn8",200mm 6 M D/S (Foamcore)ringfit Pipes SN8,
"10"" 20ft s/s foamcore ringfit sn8",250mm 6 M S/S (Foamcore)ringfit Pipes SN8,
"10"" 20ft d/s foamcore ringfit sn8",250mm 6 M D/S (Foamcore)ringfit Pipes SN8,
"12"" 20ft s/s foamcore ringfit sn8",315mm 6 M S/S (Foamcore)ringfit Pipes SN8,
"12"" 20ft d/s foamcore ringfit sn8",315mm 6 M D/S (Foamcore)ringfit Pipes SN8,
"4"" 10ft s/s foamcore selfit sn8",110mm 3 M S/S (Foamcore)Selfit Pipes SN8,2008.0
"4"" 20ft s/s foamcore selfit sn8",110mm 6 M S/S (Foamcore)Selfit Pipes SN8,3956.0
"6"" 10ft s/s foamcore selfit sn8",160mm 3 M S/S (Foamcore)Selfit Pipes SN8,3970.0
"6"" 20ft s/s foamcore selfit sn8",160mm 6 M S/S (Foamcore)Selfit Pipes SN8,7804.0
"6"" 20ft d/s foamcore selfit sn8",160mm 6 M D/S (Foamcore)Selfit Pipes SN8,8083.0
"8"" 20ft s/s foamcore selfit sn8",200mm 3 M S/S (Foamcore)Selfit Pipes SN8,6243.0
"8"" 20ft s/s foamcore selfit sn8",200mm 6 M S/S (Foamcore)Selfit Pipes SN8,12271.0
"10"" 10ft s/s foamcore selfit sn8",250mm 3 M S/S (Foamcore)Selfit Pipes SN8,9828.0
"10"" 20ft s/s foamcore selfit sn8",250mm 6 M S/S (Foamcore)Selfit Pipes SN8,19258.0
"12"" 10ft s/s foamcore selfit sn8",315mm 3 M S/S (Foamcore)Selfit Pipes SN8,15369.0
"12"" 20ft s/s foamcore selfit sn8",315mm 6 M S/S (Foamcore)Selfit Pipes SN8,30106.0
"3"" 10ft s/s swr pipe",75mm 10 FT S/S SWR Pipes Type A,690.0
"3"" 10ft d/s swr pipe",75mm 10 FT D/S SWR Pipes Type A,730.0
"3"" 2ft d/s swr pipe",75mm 2 FT D/S SWR Pipes Type A,214.0
"3"" 4ft d/s swr pipe",75mm 4 FT D/S SWR Pipes Type A,359.0
"3"" 6ft d/s swr pipe",75mm 6 FT D/S SWR Pipes Type A,513.0
"4"" 10ft s/s swr pipe",110mm 10 FT S/S SWR Pipes Type A,1201.0
"4"" 10ft d/s swr pipe",110mm 10 FT D/S SWR Pipes Type A,1318.0
"4"" 2ft d/s swr pipe",110mm 2 FT D/S SWR Pipes Type A,367.0
"4"" 4ft d/s swr pipe",110mm 4 FT D/S SWR Pipes Type A,622.0
"4"" 6ft d/s swr pipe",110mm 6 FT D/S SWR Pipes Type A,894.0
,75mm 10 FT   S/S SWR S Pipes Type-B,
,75mm 6	 M  SPipes Type-B,
,75mm 3 M D/S Pipes Type-B,
,75mm 6 M D/S Pipes Type-B,
,75mm 2 FT D/S Pipes Type-B,
,75mm 3 FT D/S Pipes Type-B,
,75mm 4 FT D/S Pipes Type-B,
,75mm 6 FT D/S Pipes Type-B,
,75mm 12 FT D/S Pipes Type-B,
,75mm 2 FT S/S Pipes Type-B,
,75mm 3 FT S/S Pipes Type-B,
,75mm 4 FT S/S Pipes Type-B,
,75mm 6 FT S/S Pipes Type-B,
,75mm 12 FT S/S Pipes Type-B,
,90mm 3 M S/S Pipes Type-B,
,90mm 6 M S/S Pipes Type-B,
,90mm 3 M D/S Pipes Type-B,
,90mm 6 M D/S Pipes Type-B,
,90mm 2 FT D/S Pipes Type-B,
,90mm 3 FT D/S Pipes Type-B,
,90mm 4 FT D/S Pipes Type-B,
,90mm 6 FT D/S Pipes Type-B,
,90mm 2 FT S/S Pipes Type-B,
,90mm 3 FT S/S Pipes Type-B,
,90mm 4 FT S/S Pipes Type-B,
,90mm 6 FT S/S Pipes Type-B,
,110mm 3 M S/S Pipes Type-B,
,110mm 6 M S/S Pipes Type-B,
,110mm 3 M D/S Pipes Type-B,
,110mm 6 M D/S Pipes Type-B,
,110mm 2 FT D/S Pipes Type-B,
,110mm 3 FT D/S Pipes Type-B,
,110mm 4 FT D/S Pipes Type-B,
,110mm 6 FT D/S Pipes Type-B,
,110mm 12 FT D/S Pipes Type-B,
,110mm 2 FT S/S Pipes Type-B,
,110mm 3 FT S/S Pipes Type-B,
,110mm 4 FT S/S Pipes Type-B,
,110mm 6 FT S/S Pipes Type-B,
,110mm 12 FT S/S Pipes Type-B,
,160mm 10FT S/S Pipes Type-B,
,160mm 20FT S/S Pipes Type-B,
,160mm 10FT D/S Pipes Type-B,
,160mm 20FT D/S Pipes Type-B,
,160mm 2 FT D/S Pipes Type-B,
,160mm 3 FT D/S Pipes Type-B,
,160mm 4 FT D/S Pipes Type-B,
,160mm 6 FT D/S Pipes Type-B,
,160mm 2 FT S/S Pipes Type-B,
,160mm 3 FT S/S Pipes Type-B,
,160mm 4 FT S/S Pipes Type-B,
,160mm 6 FT S/S Pipes Type-B,
"3"" 45 elbow",75mm SWR Bend 45°,91.0
,90mm SWR Bend 45°,141.0
"4"" 45 elbow",110mm SWR  Bend 45°,167.0
"6"" 45 elbow",160mm SWR  Bend 45°,438.0
"3"" plain bend",75mm SWR  Bend 87.5°,107.0
,90mm SWR Plain  Bend 87.5°,188.0
"4"" plain bend",110mm SWR Plain  Bend 87.5°,209.0
"6"" plain bend",160mm SWR Plain  Bend 87.5°,485.0
"3"" plug bend",75mm SWR Door Bend 87.5°,144.0
,90mm SWR Door Bend 87.5°,200.0
"4"" plug bend",110mm SWR Door Bend 87.5°,261.0
"6"" plug bend",160mm SWR Door Bend 87.5°,525.0
,75mm SWR Bend 87.5° with LH door,183.0
,110mm SWR Bend 87.5° with LH door,329.0
,75mm SWR Bend 87.5° with RH door,183.0
,110mm SWR Bend 87.5° with RH door,329.0
,110mm  SWR Plain Bend 87.5° with 50mm vent,
,110mm SWR Door Bend 87.5° with 50mm vent,
"3"" coupling",75mm SWR Coupler,80.5
,90mm  SWR Coupler,125.0
"4"" coupling",110mm  SWR Coupler,148.0
"6"" coupling",160mm  SWR Coupler,334.0
"3"" repair coupling",75mm SWR Repair Coupler,91.0
"4"" repair coupling",110mm  SWR Repair Coupler,157.0
"6"" repair coupling",160mm  SWR Repair Coupler,397.0
,90mmx75mm SWR Reducer,95.5
4x3 reducer,110mmx75mm SWR Reducer,125.0
,110mmx90mm SWR Reducer,129.0
6x3 reducer,160mmx75mm SWR Reducer,246.0
6x4 reducer,160mmx110mm SWR Reducer,263.0
"3"" plug tee",75mm SWR Single Tee with Door,186.0
,90mm SWR Single Tee with Door,269.0
"4"" plug tee",110mm SWR Single Tee with Door,334.0
"6"" plug tee",160mm SWR Single Tee with Door,841.0
,75mm SWR Swept Tee with Door,205.0
,110mm SWR Swept Tee with Door,369.0
,160mm SWR Swept Tee with Door,930.0
"3"" 4way tee",75mm SWR Cross Tee,224.0
"4"" 4way tee",110mm SWR Cross Tee,344.0
"6"" 4way tee",160mm SWR Cross Tee,1017.0
,75mm SWR Single Tee with LH Door,211.0
,110mm SWR Single Tee with LH Door,473.0
,160mmx75mm SWR Reducing Swept Tee,593.0
,160mmx110mm SWR Reducing Swept Tee,637.0
"3"" 4way plug tee",75mm SWR Cross Tee with door,344.0
"4"" 4way plug tee",110mm SWR Cross Tee with door,443.0
"6"" 4way plug tee",160mm SWR Cross Tee with door,1043.0
,75mm SWR Single Tee with RH door,211.0
,110mm SWR Single Tee with RH door,473.0
,160mmX75mm SWR Redusing Swept Tee with door,635.0
,160mmX110mm SWR Redusing Swept Tee with door,705.0
,160mmX110mm SWR Reduser Cross Tee,
,90mmx75mm SWR Reducing Tee,203.0
4x3 tee,110mmx75mm SWR Reducing Tee,247.0
,110mmx90mm SWR Reducing Tee,
6x3 tee,160mmx75mm SWR Reducing Tee,571.0
6x4 tee,160mmx110mm SWR Reducing Tee,590.0
,75mm SWR Invert 'Y' 45°,216.0
,110mm SWR Invert 'Y' 45°,
,160mmX110mm SWR Reduser Cross Tee with Door,
,90mmx75mm SWR Reducing Tee with door,241.0
4x3 plug tee,110mmx75mm SWR Reducing Tee with door,313.0
,110mmx90mm SWR Reducing Tee with door,
6x3 plug tee,160mmx75mm SWR Reducing Tee with door,616.0
6x4 plug tee,160mmx110mm SWR Reducing Tee with door,633.0
"3"" plain y",75mm SWR Single 'Y',178.0
,90mm SWR Single 'Y',262.0
"4"" plain y",110mm SWR Single 'Y',343.0
"6"" plain y",160mm SWR Single 'Y',948.0
"3"" plain tee",75mm SWR Single Tee,156.0
,90mm SWR Single Tee,232.0
"4"" plain tee",110mm SWR Single Tee,276.0
"6"" plain tee",160mm SWR Single Tee,692.0
,75mm SWR Swept Tee,177.0
,110mm SWR Swept Tee,333.0
,160mm SWR Swept Tee,890.0
"3"" plug y",75mm SWR Single 'Y' with Door,224.0
,90mm SWR Single 'Y' with Door,337.0
"4"" plug y",110mm SWR Single 'Y' with Door,439.0
"6"" plug y",160mm SWR Single 'Y' with Door,1148.0
4x3 plain y,110mmx75mm SWR Reducer 'Y',276.0
6x3 plain y,160mmx75mm SWR Reducer 'Y',659.0
6x4 plain y,160mmx110mm SWR Reducer 'Y',833.0
,160mmx75mm SWR Reducer Double 'Y',239.0
,160mmx110mm SWR Reducer Double 'Y',465.0
4x3 plug y,110mmx75mm SWR Reducer 'Y' with door,344.0
6x3 plug y,160mmx75mm SWR Reducer 'Y' with door,817.0
6x4 plug y,160mmx110mm SWR Reducer 'Y' with door,1044.0
,160mmx75mm SWR Reducer Double 'Y' with Door,
,160mmx110mm SWR Reducer Double 'Y' with Door,
,75mm SWR Double 'Y',239.0
,110mm SWR Double 'Y',569.0
,160mm SWR Double 'Y',1318.0
"3"" inspection",75mm SWR Cleansing Pipe,144.0
"4"" inspection",110mm SWR Cleansing Pipe,287.0
"6"" inspection",160mm SWR Cleansing Pipe,553.0
,75mm SWR Double 'Y' with Door,332.0
,110mm SWR Double 'Y' with Door,569.0
,160mm SWR Double 'Y' with Door,1318.0
,110mm SWR Sovent,
,75mm SWR Rubber Ring,
,90mm SWR Rubber Ring,
,110mm SWR Rubber Ring,
,160mm SWR Rubber Ring,
100grm Lubricant,100grm SWR Pipe Joint Lubricant,30.0
250grm Lubricant,250grm SWR Pipe Joint Lubricant,90.0
"1-1/2"" swr clamp","1½"" SWR Pipe Clip",18.0
"2"" swr clamp","2"" SWR Pipe Clip",21.0
"2-1/2"" swr clamp","2½"" SWR Pipe Clip",25.0
"3"" swr clamp","3"" SWR Pipe Clip",27.0
"3-1/2"" swr clamp","3½"" SWR Pipe Clip",34.0
"4"" swr clamp","4"" SWR Pipe Clip",36.0
"6"" swr clamp","6"" SWR Pipe Clip",76.0
"2"" ruby nails 1kg","2"" ruby Nails 1kg",100.0
lubricant 100g,Lubricant 100g,30.0
,30cm Toolkit Box,
1/2 upvc pipe,"½"" UPVC Pipe Schedule-40",
3/4 upvc pipe,"¾"" UPVC Pipe Schedule-40",
1 upvc pipe,"1"" UPVC Pipe Schedule-40",
1-1/4 upvc pipe,1¼  UPVC Pipe Schedule-40,
1-1/2 upvc pipe,"1½"" UPVC Pipe Schedule-40",
2 upvc pipe,"2"" UPVC Pipe Schedule-40",
1/2 upvc pipe 80,"½"" UPVC Pipe Schedule-80",
3/4 upvc pipe 80,"¾"" UPVC Pipe Schedule-80",
1 upvc pipe 80,"1"" UPVC Pipe Schedule-80",
1-1/4 upvc pipe 80,1¼  UPVC Pipe Schedule-80,
1-1/2 upvc pipe 80,"1½"" UPVC Pipe Schedule-80",
2 upvc pipe 80,"2"" UPVC Pipe Schedule-80",
1/2 upvc coupling,"½"" UPVC Coupler",
3/4 upvc coupling,"¾"" UPVC Coupler",
1 upvc coupling,"1"" UPVC Coupler",
1-1/4 upvc coupling,1¼  UPVC Coupler,
1-1/2 upvc coupling,"1½"" UPVC Coupler",
2 upvc coupling,"2"" UPVC Coupler",
2-1/2 upvc coupling,"2½"" UPVC coupler",
3 upvc coupling,"3"" UPVC coupler",
4 upvc coupling,"4"" UPVC coupler",
6 upvc coupling,"6"" UPVC coupler",
1/2 upvc elbow,"½"" UPVC Elbow 90° ",
3/4 upvc elbow,"¾"" UPVC Elbow 90° ",
1 upvc elbow,"1"" UPVC Elbow 90° ",
1-1/4 upvc elbow,1¼  UPVC Elbow 90° ,
1-1/2 upvc elbow,"1½"" UPVC Elbow 90° ",
2 upvc elbow,"2"" UPVC Elbow 90° ",
3/4x1/2 upvc coupling,"3/4 x 1/2"" UPVC Reducer Coupler",
1x1-2 upvc coupling,"1 x 1/2"" UPVC Reducer Coupler",
1x3/4 upvc coupling,"1 x 3/4"" UPVC Reducer Coupler",
1-1/4x1/2 upvc coupling,"1¼ x 1/2"" UPVC Reducer Coupler",
1-1/4x3/4 upvc coupling,"1¼ x 3/4"" UPVC Reducer Coupler",
1-1/4x1 upvc coupling,"1¼ x 1"" UPVC Reducer Coupler",
1-1/2x1/2 upvc coupling,"1½ x 1/2"" UPVC Reducer Coupler",
1-1/2x3/4 upvc coupling,"1½ x 3/4""UPVC Reducer Coupler",
1-1/2x1 upvc coupling,"1½ x 1"" UPVC Reducer Coupler",
1-1/2x1-1/4 upvc coupling,"1½ x1¼"" UPVC Reducer Coupler",
2x1/2 upvc coupling,"2 x 1/2"" UPVC Reducer Coupler",
2x3/4 upvc coupling,"2 x 3/4"" UPVC Reducer Coupler",
2x1 upvc coupling,"2 x 1"" UPVC Reducer Coupler",
1/2 upvc endcap,"½"" UPVC End Cap",
1 upvc endcap,"¾"" UPVC End Cap",
1 upvc endcap,"1"" UPVC End Cap",
1-1/4 upvc endcap,1¼  UPVC End Cap,
1-1/2 upvc endcap,"1½"" UPVC End Cap",
2 upvc endcap,"2"" UPVC End Cap",
2-1/2 upvc endcap,"2½"" UPVC End Cap",
3 upvc endcap,"3"" UPVC End Cap",
4 upvc endcap,"4"" UPVC End Cap",
1/2 upvc bend,"½"" UPVC Elbow 45° ",
3/4 upvc bend,"¾"" UPVC Elbow 45°",
1 upvc bend,"1"" UPVC Elbow 45°",
1-1/4 upvc bend,1¼  UPVC Elbow 45°,
1-1/2 upvc bend,"1½"" UPVC Elbow 45°",
2 upvc bend,"2"" UPVC Elbow 45°",
1/2 upvc tee,½ UPVC Equal Tee,
3/4 upvc tee,¾ UPVC Equal Tee,
1 upvc tee,1 UPVC Equal Tee,
1-1/4 upvc tee,1¼ UPVC Equal Tee,
1-1/2 upvc tee,1½ UPVC Equal Tee,
2 upvc tee,2 UPVC Equal Tee,
1/2 upvc mta,½ UPVC Male Thread Adaptor,
3/4 upvc mta,¾ UPVC Male Thread Adaptor,
1 upvc mta,1 UPVC Male Thread Adaptor,
1-1/4 upvc mta,1¼ UPVC Male Thread Adaptor,
1-1/2 upvc mta,1½ UPVC Male Thread Adaptor,
2 upvc mta,2 UPVC Male Thread Adaptor,
1/2 upvc fta,½ UPVC Female Thread Adaptor,
3/4 upvc fta,¾ UPVC Female Thread Adaptor,
1 upvc fta,1 UPVC Female Thread Adaptor,
1-1/4 upvc fta,1¼ UPVC Female Thread Adaptor,
1-1/2 upvc fta,1½ UPVC Female Thread Adaptor,
2 upvc fta,2 UPVC Female Thread Adaptor,
1/2 upvc brass elbow,½ x ½ UPVC Brass Elbow,
3/4x1/2 upvc brass elbow,¾ x ½ UPVC Brass Elbow,
3/4 brass elbow,¾ x ¾ UPVC Brass Elbow,
1x1/2 upvc brass elbow,1 x ½ UPVC Brass Elbow,
1x3/4 upvc brass elbow,1 x ¾ UPVC Brass Elbow,
1 upvc brass elbow,1 x 1 UPVC Brass Elbow,
1/2 upvc brass tee,½ x ½ UPVC Brass Tee,
3/4x1/2 upvc brass tee,¾ x ½ UPVC Brass Tee,
3/4 upvc brass tee,¾ x ¾ UPVC Brass Tee,
1x1/2 upvc brass tee,1 x ½ UPVC Brass Tee,
1x3/4 upvc brass tee,1 x ¾ UPVC Brass Tee,
1 upvc brass tee,1 x 1 UPVC Brass Tee,
1/2 upvc tank gilly,½ UPVC Tank Connector,
3/4 upvc tank gilly,¾ UPVC Tank Connector,
1 upvc tank gilly,1 UPVC Tank Connector,
1-1/4 upvc tank gilly,1¼ UPVC Tank Connector,
1-1/2 upvc tank gilly,1½ UPVC Tank Connector,
2 upvc tank gilly,2 UPVC Tank Connector,
1/2 upvc tank pipe gilly,½ UPVC Tank Connector (Pipe),
3/4 upvc tank pipe gilly,¾ UPVC Tank Connector (Pipe),
1 upvc tank pipe gilly,1 UPVC Tank Connector (Pipe),
1-1/4 upvc tank pipe gilly,1¼ UPVC Tank Connector (Pipe),
1-1/2 upvc tank pipe gilly,1½ UPVC Tank Connector (Pipe),
2 upvc tank pipe gilly,2 UPVC Tank Connector (Pipe),
1/2 upvc tank socket gilly,½ UPVC Tank Connector with Socket,
3/4 upvc tank socket gilly,¾ UPVC Tank Connector with Socket,
1 upvc tank socket gilly,1 UPVC Tank Connector with Socket,
1/2 upvc union,½ UPVC Union,
3/4 upvc union,¾ UPVC Union,
1 upvc union,1 UPVC Union,
1-1/4 upvc union,1¼ UPVC Union,
1-1/2 upvc union,1½ UPVC Union,
2 upvc union,2 UPVC Union,
1/2 upvc brass mta,½ x ½ UPVC Brass male thread adaptor,
3/4x1/2 upvc brass mta,¾ x ½ UPVC Brass male thread adaptor,
3/4 upvc brass mta,¾ x ¾ UPVC Brass male thread adaptor,
1x1/2 upvc brass mta,1 x ½ UPVC Brass male thread adaptor,
1x3/4 upvc brass mta,1 x ¾ UPVC Brass male thread adaptor,
1 upvc brass mta,1 x 1 UPVC Brass male thread adaptor,
1-1/4 upvc brass mta,1¼ x 1¼ UPVC Brass male thread adaptor,
1-1/2 upvc brass mta,1½ x 1½ UPVC Brass male thread adaptor,
2 upvc brass mta, 2 x 2 UPVC Brass male thread adaptor,
1/2 upvc ball valve,½ UPVC Ball Valve,
3/4 upvc ball valve,¾ UPVC Ball Valve,
1 upvc ball valve,1 UPVC Ball Valve,
1-1/4 upvc ball valve,1¼ UPVC Ball Valve,
1-1/2 upvc ball valve,1½ UPVC Ball Valve,
2 upvc ball valve,2 UPVC Ball Valve,
1/2 upvc 4way tee,½ UPVC Cross Tee,
3/4 upvc 4way tee,¾ UPVC Cross Tee,
1 upvc 4way tee,1 UPVC Cross Tee,
1-1/4 upvc 4way tee,1¼  UPVC Cross Tee,
1-1/2 upvc 4way tee,1½  UPVC Cross Tee,
1/2 upvc concealed valve,½ UPVC Concealed Valve,
3/4 upvc concealed valve,¾ UPVC Concealed Valve,
,½ UPVC Concealed Valve Quarter turn,
,¾ UPVC Concealed Valve Quarter turn,
1/2 upvc brass fta,½ x ½ UPVC Brass Female thread adaptor,
3/4x1/2 upvc brass fta,¾ x ½ UPVC Brass Female thread adaptor,
3/4 upvc brass fta,¾ x ¾ UPVC Brass Female thread adaptor,
1x1/2 upvc brass fta,1 x ½ UPVC Brass Female thread adaptor,
1x3/4 upvc brass fta,1 x ¾ UPVC Brass Female thread adaptor,
1 upvc brass fta,1 x 1 UPVC Brass Female thread adaptor,
1-1/4 upvc brass fta,1¼ x 1¼  UPVC Brass Female thread adaptor,
1-1/2 upvc brass fta,1½ x 1½ UPVC Brass Female thread adaptor,
2 upvc brass fta, 2 x 2 UPVC Brass Female thread adaptor,
1/2 upvc step over bend,½ UPVC Pipe step over bend,
3/4 upvc step over bend,¾  UPVC Pipe step over bend,
1 upvc step over bend,1  UPVC Pipe step over bend,
1/2 upvc pipe elbow,½ UPVC Pipe bend 90°,
3/4 upvc pipe elbow,¾ UPVC Pipe bend 90°,
1 upvc pipe elbow,1 UPVC Pipe bend 90°,
1/2 upvc end plug,½ UPVC End Plug,
3/4x1/2 upvc elbow,¾ x ½ UPVC Reducer Elbow (P),
1x1/2 upvc elbow,1 x ½ UPVC Reducer Elbow (P),
1x3/4 upvc elbow,1 x ¾ UPVC Reducer Elbow (P),
1/2 upvc tread elbow,½ UPVC Thread Elbow,
1/2 upvc thread tee,½ UPVC Thread Tee,
25ml upvc solvent,25ml UPVC Solvent cement (tube),
,59ml UPVC Solvent cement (tin),
118ml upvc solvent,118ml UPVC Solvent cement (tin),
,237ml UPVC Solvent cement (tin),
,473ml UPVC Solvent cement (tin),
3/4x1/2 upvc bush,¾ x ½ UPVC Reducer Bush,
1x1/2 upvc bush,1 x ½ UPVC Reducer Bush,
1x3/4 upvc bush,1 x ¾ UPVC Reducer Bush,
1-1/4x1/2 upvc bush,1¼ x ½ UPVC Reducer Bush,
1-1/4x3/4 upvc bush,1¼ x ¾ UPVC Reducer Bush,
1-1/4x1 upvc bush,1¼ x 1 UPVC Reducer Bush,
1-1/2x1/2 upvc bush,1½ x ½ UPVC Reducer Bush,
1-1/2x3/4 upvc bush,1½ x ¾ UPVC Reducer Bush,
1-1/2x1 upvc bush,1½ x 1 UPVC Reducer Bush,
1-1/2x1-1/4 upvc bush,1½ x 1¼ UPVC Reducer Bush,
2x1/2 upvc bush,2 x ½ UPVC Reducer Bush,
2x3/4 upvc bush,2 x ¾ UPVC Reducer Bush,
2x1 upvc bush,2 x 1 UPVC Reducer Bush,
2x1-1/4 upvc bush,2 x 1¼ UPVC Reducer Bush,
1x1-1/2 upvc bush,2 x 1½ UPVC Reducer Bush,
3/4x1/2 upvc tee,¾ x ½ UPVC Reducer Tee,
1x1/2 upvc tee,1 x ½ UPVC Reducer Tee,
1x3/4 upvc tee,1 x ¾ UPVC Reducer Tee,
1-1/4x1/2 upvc tee,1¼ x ½ UPVC Reducer Tee,
1-1/4x3/4 upvc tee,1¼ x ¾ UPVC Reducer Tee,
1-1/4x1 upvc tee,1¼ x 1 UPVC Reducer Tee,
1-1/2x1/2 upvc tee,1½ x ½ UPVC Reducer Tee,
1-1/2x3/4 upvc tee,1½ x ¾ UPVC Reducer Tee,
1-1/2x1 upvc tee,1½ x 1 UPVC Reducer Tee,
1-1/2x1-1/4 upvc tee,1½ x 1¼ UPVC Reducer Tee,
2x1/2 upvc tee,2 x ½ UPVC Reducer Tee,
2x3/4 upvc tee,2 x ¾ UPVC Reducer Tee,
2x1 upvc tee,2 x 1 UPVC Reducer Tee,
2x1-1/4 upvc tee,2 x 1¼ UPVC Reducer Tee,
2x1-1/2 upvc tee,2 x 1½ UPVC Reducer Tee,
2-1/2x2 upvc tee,2½ x 2 UPVC Reducer Tee,
3x2 upvc tee,3 x 2 UPVC Reducer Tee,
3x2-1/2 upvc tee,3 x 2½ UPVC Reducer Tee,
4x2 upvc tee,4 x 2 UPVC Reducer Tee,
4x2-1/2 upvc tee,4 x 2½ UPVC Reducer Tee,
4x3 upvc tee,4 x 3 UPVC Reducer Tee,
2-1/2 upvc elbow,"2½"" UPVC Elbow 90° ",
3 upvc elbow,"3"" UPVC Elbow 90° ",
4 upvc elbow,"4"" UPVC Elbow 90° ",
2-1/2 upvc tee,2½ UPVC Equal Tee,
3 upvc tee,3 UPVC Equal Tee,
4 upvc tee,4 UPVC Equal Tee,
2-1/2 upvc mta,2½ UPVC Male Thread Adaptor,
3 upvc mta,3 UPVC Male Thread Adaptor,
4 upvc mta,4 UPVC Male Thread Adaptor,
2-1/2 upvc fta,2½ UPVC Female Thread Adaptor,
3 upvc fta,3 UPVC Female Thread Adaptor,
4 upvc fta,4 UPVC Female Thread Adaptor,
t tape,teflone tape,20.0
,"1"" Concealed Stop cock(Brass)",
"2"" nail box","2"" Nails Box",280.0
"2-1/2"" nail box","2½"" Nails Box",280.0
1-1/2 1ft pvc pipe,1½ 1ft Pvc Pipe ,28.0
1-1/4 1ft pvc pipe,1¼ 1ft Pvc Pipe ,24.0
1-1/2 10ft pvc pipe,1½ 10Ft Pvc Pipe ,280.0
1-1/4 10ft pvc pipe,1¼ 10Ft Pvc Pipe ,240.0
1-1/2 pvc elbow,1½ Pvc 90° Elbow,34.0
1-1/2 pvc tee,1½ Pvc Tee,40.0
1-1/2 pvc endcap,1½ Pvc End Cap,24.0
1-1/4 pvc elbow,1¼ Pvc 90° Elbow,30.0
1-1/4 pvc tee,1¼ Pvc Tee,36.0
1-1/4 pvc endcap,1¼ Pvc End Cap,20.0
1-1/2 pvc bend,1½ Pvc 45° Elbow,48.0
1-1/4 pvc bend,1¼ Pvc 45° Elbow,40.0
1/2 pvc long dummy,"1/2"" Pvc Long Dummy",5.0
,75mm 10 FT S/S PVC Pipes Type A,
,75mm 10 FT D/S PVC Pipes Type A,
,75mm 2 FT D/S PVC Pipes Type A,
,75mm 4 FT D/S PVC Pipes Type A,
,75mm 6 FT D/S PVC Pipes Type A,
,110mm 10 FT S/S PVC Pipes Type A,
,110mm 10 FT D/S PVC Pipes Type A,
,110mm 2 FT D/S PVC Pipes Type A,
,110mm 4 FT D/S PVC Pipes Type A,
,110mm 6 FT D/S PVC Pipes Type A,
"3"" p trap",75mmx75mm Swr P Trap,246.0
"4"" p trap",110mmX110mm Swr P Trap,456.0
4x3 multi nahani,110mmx75mm Swr Multi Floor Trap ,231.0
"3"" nahani trap",110mmx75mm Swr Nahani Trap,163.0
"4"" nahani trap",110mmx110mm Swr Nahani Trap,205.0
"2"" vent cowl",50mm Swr Vent Cowl,18.0
"3"" vent cowl",75mm Swr Vent Cowl,34.0
"4"" vent cowl",110mm Swr Vent Cowl,57.0
"4"" square gully trap",110mm Swr Square Gully Trap,774.0
pvc solution 100ml,Pvc Solvent Solution 100ml,60.0
pvc solution 250ml,Pvc Solvent Solution 250ml,120.0
pvc solution 500ml,Pvc Solvent Solution 500ml,230.0
3/4 c clamp,"¾"" China Clamp",10.0
1 c clamp,"1"" China Clamp",12.0
1-1/4 c clamp,"1¼"" China Clamp",15.0
1-1/2 c clamp,"1½"" China Clamp",18.0
2 c clamp,"2"" China Clamp",20.0
1/2 u clamp,"½"" U clamps",14.0
3/4 u clamp,"¾"" U clamps",16.0
1 u clamp,"1"" U clamps",18.0
1-1/4 u clamp,"1¼"" U clamps",20.0
1-1/2 u clamp,"1½"" U clamps",24.0
2 u clamp,"2"" U clamps",26.0
2-1/2 u clamp,"2½"" U clamps",28.0
3 u clamp,"3"" U clamps",30.0
4 u clamp,"4"" U clamps",38.0
6 u clamp,"6"" U clamps",50.0
4 base clamp,"4"" base clamp",68.0
6 base clamp,"6"" base clamp",78.0
8 base clamp,"8"" base clamp",86.0
9 base clamp,"9"" base clamp",96.0
10 base clamp,"10"" base clamp",108.0
12 base clamp,"12"" base clamp",112.0
15 base clamp,"15"" base clamp",132.0
18 base clamp,"18"" base clamp",160.0
24 base clamp,"24"" base clamp",184.0
118ml solvent,118ml Solvent Solution,180.0
200ml solvent,200ml Cpvc Solvent Solution,360.0
"1"" gi clamp","1"" GI Clamp",10.0
