local_alias,item_name,rate
3x1 tee,3 x 1 CPVC Reducer TEE (IPSXCTS)soc,2696.0
3x1-1/2 tee,3 x 1½ CPVC Reducer TEE (IPSXCTS)soc,2037.0
3x2 tee,3 x 2 CPVC Reducer TEE (IPSXCTS)soc,1957.0
4x1-1/2 tee,4 x 1½ CPVC Reducer TEE (IPSXCTS)soc,3390.0
4x2 tee,4 x 2 CPVC Reducer TEE (IPSXCTS)soc,3439.0
6x2 tee,6 x 2 CPVC Reducer TEE (IPSXCTS)soc,8255.0
,½ x ½ x ¾ CPVC Reducer TEE,73.0
,¾ x ½ x ¾ CPVC Reducer TEE,75.0
,¾ x ½ x ½ CPVC Reducer TEE,75.0
3/4x1/2 tee,¾ x ¾ x ½ CPVC Reducer TEE,77.0
1x1/2 tee,1 x 1 x ½ CPVC Reducer TEE,117.0
1x3/4 tee,1 x 1 x ¾ CPVC Reducer TEE,128.0
1-1/4x1/2 tee,1¼ x 1¼ x ½ CPVC Reducer TEE,213.0
1-1/4x3/4 tee,1¼ x 1¼ x ¾ CPVC Reducer TEE,245.0
1-1/4x1 tee,1¼ x 1¼ x 1 CPVC Reducer TEE,227.0
1-1/2x1/2 tee,1½ x 1½ x ½ CPVC Reducer TEE,351.0
1-1/2x3/4 tee,1½ x 1½ x ¾ CPVC Reducer TEE,347.0
1-1/2x1 tee,1½ x 1½ x 1 CPVC Reducer TEE,328.0
1-1/2x1-1/4 tee,1½ x 1½ x 1¼ CPVC Reducer TEE,326.0
2x1/2 tee,2 x 2 x ½ CPVC Reducer TEE,622.0
2x3/4 tee,2 x 2 x ¾ CPVC Reducer TEE,671.0
2x1 tee,2 x 2 x 1 CPVC Reducer TEE,661.0
2x1-1/4 tee,2 x 2 x 1¼ CPVC Reducer TEE,671.0
2x1-1/2 tee,2 x 2 x 1½ CPVC Reducer TEE,671.0
1/2 brass tee,½ x ½ x ½ CPVC Brass FPT-soc TEE,129.0
3/4x1/2 brass tee,¾ x ¾ x ½ CPVC Brass FPT-soc TEE,131.0
3/4 brass tee,¾ x ¾ x ¾ CPVC Brass FPT-soc TEE,208.0
1x1/2 brass tee,1 x 1 x ½ CPVC Brass FPT-soc TEE,218.0
1x3/4 brass tee,1 x 1 x ¾ CPVC Brass FPT-soc TEE,321.0
1 brass tee,1 x 1 x 1 CPVC Brass FPT-soc TEE,376.0
